Step,Wall Time,energy/usage
324,1706305568.6806448,40.0
658,1706305569.6819499,41.0
993,1706305570.682658,40.0
1227,1706305571.68275,40.0
1565,1706305572.6855543,40.0
1904,1706305573.6859987,40.0
2049,1706305575.7591631,99.0
2390,1706305576.7616355,51.0
2732,1706305577.7633545,48.0
3000,1706305578.84484,52.0
3335,1706305579.8482115,48.0
3678,1706305580.8491836,48.0
4000,1706305582.0631487,58.0
4097,1706305583.6938617,86.0
4447,1706305584.6953955,51.0
4796,1706305585.6965919,51.0
5041,1706305586.6970878,51.0
5393,1706305587.6996326,51.0
5743,1706305588.7002585,51.0
6000,1706305589.7189274,52.0
6145,1706305591.4891503,96.0
6503,1706305592.491258,54.0
6865,1706305593.4920564,54.0
7116,1706305594.4949372,52.0
7461,1706305595.49808,48.0
7808,1706305596.4985287,48.0
8054,1706305597.4992354,48.0
8193,1706305599.269465,91.0
8539,1706305600.2719169,51.0
8887,1706305601.273446,51.0
9129,1706305602.2761087,55.0
9478,1706305603.2784905,53.0
9829,1706305604.279537,52.0
10080,1706305605.2800593,52.0
10241,1706305607.1078122,100.0
10602,1706305608.1100862,55.0
10963,1706305609.1106837,55.0
11224,1706305610.112612,55.0
11587,1706305611.1145103,55.0
11946,1706305612.11455,54.0
12208,1706305613.1166413,55.0
12289,1706305614.71854,92.0
12655,1706305615.7190158,59.0
13000,1706305616.9291115,71.0
13369,1706305617.930861,59.0
13738,1706305618.931674,59.0
14005,1706305619.9330294,59.0
14337,1706305622.2145467,135.0
14701,1706305623.215883,57.0
15000,1706305624.358033,55.0
15350,1706305625.3592417,48.0
15699,1706305626.3618758,48.0
16000,1706305627.514092,55.0
16349,1706305628.516995,48.0
16385,1706305630.0073802,80.0
16740,1706305631.0103788,49.0
17000,1706305632.0754592,43.0
17344,1706305633.0773144,41.0
17688,1706305634.0796268,40.0
18000,1706305635.2887387,49.0
18345,1706305636.2916236,40.0
18433,1706305637.9293914,81.0
18780,1706305638.929756,48.0
19025,1706305639.9318142,48.0
19376,1706305640.9347217,48.0
19726,1706305641.9372723,48.0
20000,1706305643.0131998,52.0
20352,1706305644.015762,48.0
20481,1706305645.6063254,82.0
20832,1706305646.6079755,48.0
21080,1706305647.610579,48.0
21430,1706305648.613394,48.0
21781,1706305649.6158388,48.0
22030,1706305650.6184604,48.0
22381,1706305651.6185424,48.0
22529,1706305653.423573,95.0
22882,1706305654.4265127,51.0
23134,1706305655.4268959,51.0
23488,1706305656.427638,51.0
23841,1706305657.4296215,51.0
24094,1706305658.4306312,51.0
24448,1706305659.4332287,52.0
24577,1706305661.1897206,99.0
24941,1706305662.1922724,55.0
25208,1706305663.1938493,55.0
25575,1706305664.194959,55.0
