parallelism,concurrency,throughput,energy
1,1,320.04833333333335,6705.874617666667
2,1,627.422,3478.3536440000003
4,1,1145.6206666666667,2050.795836333333
8,1,2133.2363333333337,1480.005081666667
1,2,615.8046666666665,3559.2093333333337
2,2,1145.6243333333334,2106.1009520000002
4,2,2014.7446666666667,1508.6105989999999
8,2,3555.402,971.529526
1,4,1185.1393333333333,2119.495733666667
2,4,2310.997,1377.8348313333333
4,4,3555.4336666666663,1027.2895660000001
8,4,4148.019666666667,1222.77224
1,8,2311.0266666666666,1416.3231159999998
2,8,3555.4266666666663,1034.790096
4,8,4740.573666666666,995.3010816666668
8,8,4444.2655,925.1167419999999
