Throughput,Parallelism,Concurrency,LossRate,Score,rtt,energy,Time
0.0,1,1,0.0,-0.0,0.0,0.0,2023-09-27 20:14:34.365053
0.032288,1,1,0.0,-0.0,0.0,32.880043,2023-09-27 20:14:35.365890
0.087264,1,1,0.0,-0.0,33.5,32.054117,2023-09-27 20:14:36.366680
0.075408,1,1,0.0,-0.0,33.4,32.054117,2023-09-27 20:14:37.366608
4.137936,1,1,0.0,-4.0,33.4,31.723552,2023-09-27 20:14:38.367664
87.328168,1,1,0.0,-86.0,33.3,32.140116,2023-09-27 20:14:39.369171
246.920616,1,1,0.0,-242.0,33.4,32.476296,2023-09-27 20:14:40.370352
334.603184,1,1,0.0,-328.0,33.5,32.478799,2023-09-27 20:14:41.372002
338.4826,1,1,0.0,-332.0,33.4,32.491494,2023-09-27 20:14:42.372884
338.4826,1,1,0.0,-332.0,33.4,32.325661,2023-09-27 20:14:43.373447
369.075232,1,1,0.0,-362.0,33.6,32.078043,2023-09-27 20:14:44.375052
378.53448,1,1,0.0,-371.0,33.5,32.152689,2023-09-27 20:14:45.376366
394.463024,1,1,0.0,-387.0,33.5,32.272317,2023-09-27 20:14:46.377661
375.98624,1,1,0.0,-369.0,33.5,32.18284,2023-09-27 20:14:47.378803
402.74008,1,1,0.0,-395.0,33.5,32.172953,2023-09-27 20:14:48.379699
383.832568,1,1,0.0,-376.0,33.4,32.137307,2023-09-27 20:14:49.380653
364.628392,1,1,0.0,-357.0,33.5,32.277078,2023-09-27 20:14:50.382382
335.45648,1,1,0.0,-329.0,33.4,32.358011,2023-09-27 20:14:51.383053
348.341792,1,1,0.0,-342.0,33.4,32.331826,2023-09-27 20:14:52.384117
368.97688,1,1,0.0,-362.0,33.6,32.169046,2023-09-27 20:14:53.385549
381.12356,1,1,0.0,-374.0,33.5,32.704995,2023-09-27 20:14:54.386378
387.756216,1,1,0.0,-380.0,33.4,32.192849,2023-09-27 20:14:55.387328
234.043304,1,1,0.0,-229.0,33.4,32.044718,2023-09-27 20:14:56.388677
286.603328,1,1,0.0,-281.0,33.5,32.642922,2023-09-27 20:14:57.389658
334.730488,1,1,0.0,-328.0,33.4,32.554238,2023-09-27 20:14:58.391098
338.08112,1,1,0.0,-331.0,33.4,32.284524,2023-09-27 20:14:59.391713
354.293152,1,1,0.0,-347.0,33.5,32.373452,2023-09-27 20:15:00.392764
382.234256,1,1,0.0,-375.0,33.6,32.174417,2023-09-27 20:15:01.393847
