Concurrent Thread 2 creating all parallel threads (paused)
Concurrent Thread 1 creating all parallel threads (paused)
Concurrent Thread 0 creating all parallel threads (paused)
Concurrent Thread 3 creating all parallel threads (paused)
Main Thread changed parallelism to 3 and concurrency to 3
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :0 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :0 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :0 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :10000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :10000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :10000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :20000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :20000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :20000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :30000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :40000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :30000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :40000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :50000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :30000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :50000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :40000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :50000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :60000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :60000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :70000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :70000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :60000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :70000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :80000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :80000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :80000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :90000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :90000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :90000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :100000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :110000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :110000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :100000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :110000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :100000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :120000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :120000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :120000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :130000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :140000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :130000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :130000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :140000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :140000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :150000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :150000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :150000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :160000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :160000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :170000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :160000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :170000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :170000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :180000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :190000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :200000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :180000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :190000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :190000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :200000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :200000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :180000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :210000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :210000 
Parent ID : 2 thread ID: 0, work url : sample_file_2 , start_byte :220000 
Parent ID : 2 thread ID: 1, work url : sample_file_2 , start_byte :230000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :220000 
Parent ID : 1 thread ID: 2, work url : sample_file_1 , start_byte :210000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :220000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :230000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :230000 
Parent ID : 1 thread ID: 0, work url : sample_file_1 , start_byte :240000 
Parent ID : 0 thread ID: 2, work url : sample_file_0 , start_byte :240000 
Parent ID : 0 thread ID: 1, work url : sample_file_0 , start_byte :250000 
Parent ID : 2 thread ID: 2, work url : sample_file_2 , start_byte :240000 
Parent ID : 1 thread ID: 1, work url : sample_file_1 , start_byte :250000 
Parent ID : 0 thread ID: 0, work url : sample_file_0 , start_byte :260000 
